budget,revenue,popularity,country,vote_average,rtAllCriticsRating
12800000,40031879,22.022228,Germany,7.6,6.7
12800000,40031879,22.022228,Iceland,7.6,6.7
12800000,40031879,22.022228,Italy,7.6,6.7
12800000,40031879,22.022228,Netherlands,7.6,6.7
12800000,40031879,22.022228,Norway,7.6,6.7
12800000,40031879,22.022228,Sweden,7.6,6.7
12800000,40031879,22.022228,United Kingdom,7.6,6.7
12800000,40031879,22.022228,United States of America,7.6,6.7
22000000,424208848,45.707835,United Kingdom,7.6,7
22000000,424208848,45.707835,United States of America,7.6,7
14000000,34670720,14.480628,United Kingdom,7,7.7
14000000,34670720,14.480628,United States of America,7,7.7
116000000,178127760,16.90444,United States of America,5.7,4.9
15000000,9237470,6.373316,Germany,6.5,5.8
15000000,9237470,6.373316,United Kingdom,6.5,5.8
15000000,9237470,6.373316,United States of America,6.5,5.8
30000000,25473093,14.376463,United States of America,5.3,5.5
14000000,85e6,26.967494,Germany,7.9,9
2000000,7e7,34.938177,Germany,7.9,8.2
20000000,48548426,10.098722,Switzerland,3.6,2.4
20000000,48548426,10.098722,United States of America,3.6,2.4
28000000,102356381,44.529429,United States of America,6.8,6.7
3500000,34e6,18.025206,United States of America,6.9,6.5
3500000,34e6,18.025206,Japan,6.9,6.5
80000000,159212469,16.681269,United States of America,5.8,4.7
60000000,157920733,16.278022,United States of America,5.9,4.6
6900000,7993039,26.181753,United States of America,7.4,7.9
11000000,39363635,15.864928,United States of America,7.3,8.2
11000000,39363635,15.864928,United Kingdom,7.3,8.2
16400000,235860116,55.458584,United States of America,8.1,7.2
45000000,73762516,42.57877,United Kingdom,6,4.8
45000000,73762516,42.57877,United States of America,6,4.8
45000000,73762516,42.57877,Germany,6,4.8
20000000,16974459,12.643703,United States of America,6.5,4.1
20000000,10686841,11.352693,United States of America,7.3,7.2
60000000,73648228,22.991269,Australia,5.6,5.7
60000000,73648228,22.991269,United States of America,5.6,5.7
75000000,140464664,34.070054,United States of America,5.9,5.7
45000000,11203026,6.513856,Canada,6,4.2
45000000,11203026,6.513856,United States of America,6,4.2
22000000,57479076,17.7091,United Kingdom,6.1,4.6
22000000,57479076,17.7091,United States of America,6.1,4.6
7000000,25405445,25.511217,United States of America,6.8,6.3
6500000,4217115,5.700333,United States of America,6.7,5.4
22000000,22400154,10.259461,United States of America,4.7,2.8
17000000,65535067,9.832326,United States of America,5.5,4
