budget,revenue,company
18000000,151668774,Gracie Films
18000000,151668774,Twentieth Century Fox Film Corporation
18000000,151668774,American Entertainment Partners II L.P.
15000000,52970014,Universal Pictures
70000000,122919055,Columbia Pictures
70000000,122919055,The Zanuck Company
70000000,122919055,Jinks/Cohen Company
70000000,122919055,Tim Burton Productions
30000000,173959438,Twentieth Century Fox Film Corporation
30000000,173959438,Regency Enterprises
40000000,138259062,Twentieth Century Fox Film Corporation
40000000,138259062,Regency Enterprises
40000000,138259062,Epsilon Motion Pictures
40000000,138259062,Firm Films
40000000,138259062,Deep River Productions
40000000,138259062,New Regency Pictures
40000000,138259062,Ed Friendly Productions
40000000,138259062,Runteldat Entertainment
40000000,138259062,Big Lou House Productions
40000000,8493890,Touchstone Pictures
10000000,40485039,Orion Pictures
5000000,11e7,BBC Films
5000000,11e7,Tiger Aspect Productions
5000000,11e7,StudioCanal
5000000,11e7,Arts Council of England
5000000,11e7,Working Title Films
5000000,11e7,WT2 Productions
92000000,172989651,Jerry Bruckheimer Films
92000000,172989651,Revolution Studios
92000000,172989651,Scott Free Productions
30000000,45892212,Paramount Pictures
30000000,45892212,Pegasus Film Partners
30000000,45892212,Jaffe-Lansing
15000000,10903846,Paramount Classics
45000000,131183530,New Line Cinema
45000000,131183530,Amen Ra Films
45000000,131183530,Imaginary Forces
45000000,131183530,Marvel Enterprises
54000000,155010032,New Line Cinema
54000000,155010032,Amen Ra Films
54000000,155010032,Milk & Honey
54000000,155010032,Imaginary Forces
54000000,155010032,Justin Pictures
54000000,155010032,Linovo Productions GmbH & Co. KG
54000000,155010032,Pacific Title and Art Studio
54000000,155010032,Marvel Enterprises
65000000,128905366,New Line Cinema
65000000,128905366,Amen Ra Films
65000000,128905366,Shawn Danielle Productions Ltd.
65000000,128905366,Imaginary Forces
65000000,128905366,Marvel Enterprises
65000000,128905366,Peter Frankfurt Productions
35000000,40263020,New Line Cinema
35000000,40263020,Forge
35000000,40263020,Midnight Sun Pictures
2600000,1195e5,Crossbow Productions
2600000,1195e5,Warner Bros.
25000000,19844979,Rhombus Media
25000000,19844979,O2 Filmes
25000000,19844979,Téléfilm Canada
25000000,19844979,Bee Vine Pictures
25000000,19844979,Alliance Films
25000000,19844979,Asmik Ace Entertainment
25000000,19844979,GAGA
25000000,19844979,Fox Filmes do Brasil
25000000,19844979,Ancine
25000000,19844979,BNDES
25000000,19844979,Cinema Investment
25000000,19844979,Corus Entertainment
25000000,19844979,Movie Central Network
100000000,170877916,Bedford Falls Productions
100000000,170877916,Lonely Film Productions GmbH & Co. KG.
100000000,170877916,Virtual Studios
100000000,170877916,Spring Creek Productions
100000000,170877916,Warner Bros.
100000000,170877916,Initial Entertainment Group (IEG)
100000000,170877916,Liberty Pictures
50000000,26199517,Malpaso Productions
50000000,26199517,Warner Bros.
25000000,2405420,Boll KG
1500000,11806119,Cannon Films
53000000,83282296,New Line Cinema
18000000,12e6,Cinema 77
25000000,51842679,Imagine Entertainment
25000000,51842679,Mikona Productions GmbH & Co. KG
25000000,51842679,Universal Pictures
25000000,51842679,Shutt/Jones Productions
65000000,117758500,Columbia Pictures
20000000,8586376,Motion Picture Corporation of America
20000000,8586376,Artisan Entertainment
10000000,8801940,Columbia Pictures Corporation
10000000,8801940,Delphi II Productions
70000000,113280098,Scott Free Productions
70000000,113280098,De Line Pictures
70000000,113280098,Warner Bros.
26000000,28780255,New Line Cinema
150000000,309979994,Walt Disney Animation Studios
20000000,67192859,Ghost House Pictures
20000000,67192859,Senator International
20000000,67192859,Screen Gems
20000000,67192859,Pacific Renaissance Pictures Ltd.
15000000,43101594,New Line Cinema
15000000,43101594,Ghoulardi Film Company
15000000,43101594,Lawrence Gordon Productions
40000000,701e5,Paramount Pictures
18000000,261572744,Twentieth Century Fox Film Corporation
18000000,261572744,Four By Two Productions
14000000,161001698,Universal Pictures
14000000,161001698,Ixtlan
7000000,560069,Gracie Films
7000000,560069,Columbia Pictures Corporation
5000000,4040588,Zininsa Film Production
5000000,4040588,Intellectual Properties Worldwide
4500000,7011317,Dino De Laurentiis Company
4500000,7011317,Spelling Films
4000000,35564473,Alliance Atlantis Communications
4000000,35564473,TiMe Film- und TV-Produktions GmbH
4000000,35564473,Vif Babelsberger Filmproduktion GmbH & Co. Zweite KG
4000000,35564473,Dog Eat Dog Films
4000000,35564473,Iconolatry Productions Inc.
4000000,35564473,Salter Street Films International
4000000,35564473,United Broadcasting Inc.
16000000,20627372,Punch 21 Productions
2000000,11540607,Fox Searchlight Pictures
2000000,11540607,The Independent Film Channel Productions
2000000,11540607,IFC Films
2000000,11540607,Killer Films
2000000,11540607,Hart-Sharp Entertainment
6500000,57504069,Columbia Pictures Corporation
72000000,21e7,Icon Entertainment International
72000000,21e7,The Ladd Company
72000000,21e7,B.H. Finance C.V.
25000000,50671850,Universal Pictures
25000000,50671850,Midwinter Productions Inc.
60000000,137587063,Walden Media
60000000,137587063,Hal Lieberman Company
60000000,137587063,Lauren Levine Productions Inc.
50000000,40203020,Miramax Films
50000000,40203020,Universal Pictures
50000000,40203020,Studio Canal
50000000,40203020,Working Title Films
50000000,40203020,Atlantic Television
50000000,40203020,Little Bird
25000000,281929795,Miramax Films
25000000,281929795,Universal Pictures
25000000,281929795,Studio Canal
25000000,281929795,Working Title Films
25000000,281929795,Little Bird
1000000,852206,Main Street Movie Company
28000000,90449929,Beacon Communications
20000000,132675402,Hyde Park Films
20000000,132675402,Touchstone Pictures
14000000,178043761,River Road Entertainment
14000000,178043761,Alberta Film Entertainment
14000000,178043761,Focus Features
14000000,178043761,Good Machine
25000000,13e6,Twentieth Century Fox Film Corporation
25000000,13e6,Fox 2000 Pictures
25000000,13e6,Adam Fields Productions
25000000,13e6,Two Girls Productions
50000000,150270147,Twentieth Century Fox Film Corporation
50000000,150270147,WCG Entertainment Productions
50000000,150270147,Mark Gordon Productions
8000000,458232,City Light Films
